"agency_cd","site_no","dateTime","X_00060_00000","X_00060_00000_cd","tz_cd"
"USGS","03450000",2025-01-11 22:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-11 23:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-11 23:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-11 23:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-11 23:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 00:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 00:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 00:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 01:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 01:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 01:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 01:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 02:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 02:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 02:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 02:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 03:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 03:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 03:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 03:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 04:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 04:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 04:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 04:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 05:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 05:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 05:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 05:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 06:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 06:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 06:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 06:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 07:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 07:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 07:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 07:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 08:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 08:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 08:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 08:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 09:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 09:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 09:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 09:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 10:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 10:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 10:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 10:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 11:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 11:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 11:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 11:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 12:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 12:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 12:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 12:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 13:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 13:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 13:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 13:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 14:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 14:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 14:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 14:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 15:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 15:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 15:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 15:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 16:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 16:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 16:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 16:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 17:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 17:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 17:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 17:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 18:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 18:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 18:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 18:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 19:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 19:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 19:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 19:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 20:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 20:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 20:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 20:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 21:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 21:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 21:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 21:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 22:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 22:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 22:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 22:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 23:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 23:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 23:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-12 23:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 00:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 00:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 00:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 01:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 01:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 01:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 01:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 02:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 02:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 02:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 02:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 03:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 03:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 03:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 03:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 04:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 04:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 04:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 04:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 05:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 05:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 05:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 05:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 06:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 06:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 06:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 06:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 07:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 07:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 07:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 07:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 08:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 08:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 08:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 08:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 09:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 09:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 09:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 09:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 10:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 10:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 10:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 10:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 11:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 11:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 11:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 11:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 12:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 12:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 12:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 12:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 13:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 13:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 13:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 13:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 14:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 14:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 14:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 14:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 15:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 15:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 15:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 15:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 16:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 16:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 16:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 16:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 17:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 17:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 17:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 17:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 18:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 18:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 18:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 18:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 19:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 19:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 19:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 19:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 20:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 20:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 20:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 20:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 21:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 21:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 21:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 21:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 22:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 22:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 22:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 22:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 23:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 23:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 23:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-13 23:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 00:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 00:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 00:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 01:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 01:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 01:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 01:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 02:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 02:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 02:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 02:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 03:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 03:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 03:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 03:45:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 04:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 04:15:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 04:30:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 04:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 05:00:00,5.18,"P","America/New_York"
"USGS","03450000",2025-01-14 05:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 05:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 05:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 06:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 06:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 06:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 06:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 07:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 07:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 07:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 07:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 08:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 08:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 08:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 08:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 09:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 09:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 09:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 09:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 10:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 10:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 10:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 10:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 11:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 11:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 11:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 11:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 12:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 12:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 12:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 12:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 13:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 13:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 13:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 13:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 14:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 14:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 14:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 14:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 15:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 15:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 15:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 15:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 16:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 16:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 16:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 16:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 17:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 17:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 17:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 17:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 18:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 18:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 18:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 18:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 19:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 19:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 19:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 19:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 20:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 20:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 20:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 20:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 21:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 21:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 21:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 21:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 22:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 22:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 22:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 22:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 23:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 23:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 23:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-14 23:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 00:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 00:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 00:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 01:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 01:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 01:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 01:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 02:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 02:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 02:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 02:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 03:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 03:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 03:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 03:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 04:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 04:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 04:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 04:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 05:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 05:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 05:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 05:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 06:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 06:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 06:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 06:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 07:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 07:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 07:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 07:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 08:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 08:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 08:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 08:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 09:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 09:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 09:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 09:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 10:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 10:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 10:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 10:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 11:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 11:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 11:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 11:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 12:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 12:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 12:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 12:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 13:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 13:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 13:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 13:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 14:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 14:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 14:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 14:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 15:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 15:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 15:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 15:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 16:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 16:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 16:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 16:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 17:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 17:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 17:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 17:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 18:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 18:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 18:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 18:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 19:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 19:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 19:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 19:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 20:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 20:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 20:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 20:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 21:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 21:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 21:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 21:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 22:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 22:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 22:30:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 22:45:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 23:00:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 23:15:00,4.78,"P","America/New_York"
"USGS","03450000",2025-01-15 23:30:00,4.78,"P","America/New_York"
